road_id,timestamp,pred_15_min,pred_30_min,pred_45_min,pred_60_min,HighCongestionFlag_15,Rerouting_15,HighCongestionFlag_30,Rerouting_30,HighCongestionFlag_45,Rerouting_45,HighCongestionFlag_60,Rerouting_60,avg_speed,accident_count
R1,2025-12-03 17:15:00,39.49,,,,0,None,0,None,0,None,0,None,50,17
R1,2025-12-03 17:30:00,,39.49,,,0,None,0,None,0,None,0,None,50,17
R1,2025-12-03 17:45:00,,,39.49,,0,None,0,None,0,None,0,None,50,17
R1,2025-12-03 18:00:00,,,,39.49,0,None,0,None,0,None,0,None,50,17
R2,2025-12-03 17:15:00,67.66,,,,0,None,0,None,0,None,0,None,45,26
R2,2025-12-03 17:30:00,,67.66,,,0,None,0,None,0,None,0,None,45,26
R2,2025-12-03 17:45:00,,,67.66,,0,None,0,None,0,None,0,None,45,26
R2,2025-12-03 18:00:00,,,,67.66,0,None,0,None,0,None,0,None,45,26
